,algorithm,params,train_acc,train_f1,train_time,val_acc,val_f1,val_time,test_acc,test_f1,test_time
0,LogisticRegression(),"{'C': 0.01, 'class_weight': 'balanced', 'random_state': 42}",0.8406210392902408,0.7644028103044497,8.411643743515015,0.8348115299334812,0.749579831932773,1.2841200828552246,0.8425720620842572,0.7702265372168284,1.285071849822998
1,NearestCentroid(),{},0.8396704689480355,0.7633302151543498,4.926971197128296,0.8337028824833703,0.7483221476510067,0.6533279418945312,0.8403547671840355,0.7677419354838709,0.6532952785491943
